,Length,AT,DA,SA,SRCE,DSTI
5392,155,2020-05-15 13:25:37.476782+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5393,149,2020-05-15 13:25:37.477119+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e8,Router2,Phone1
5394,146,2020-05-15 13:25:37.493793+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e8,Router2,Phone1
5395,154,2020-05-15 13:25:37.498513+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5396,155,2020-05-15 13:25:37.498764+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5397,150,2020-05-15 13:25:37.499053+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e8,Router2,Phone1
5398,1560,2020-05-15 13:25:37.499249+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e8,Router2,Phone1
5399,1352,2020-05-15 13:25:37.499406+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e8,Router2,Phone1
5400,146,2020-05-15 13:25:37.508445+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5401,146,2020-05-15 13:25:37.511154+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5402,142,2020-05-15 13:25:37.511717+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5403,663,2020-05-15 13:25:37.511790+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5404,165,2020-05-15 13:25:37.518778+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5405,165,2020-05-15 13:25:37.518921+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5406,165,2020-05-15 13:25:37.519463+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5407,165,2020-05-15 13:25:37.519901+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5408,356,2020-05-15 13:25:37.526116+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5409,154,2020-05-15 13:25:37.526677+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e8,Router2,Phone1
5410,146,2020-05-15 13:25:37.528578+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5411,146,2020-05-15 13:25:37.529150+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5412,146,2020-05-15 13:25:37.532518+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5413,146,2020-05-15 13:25:37.562669+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5414,146,2020-05-15 13:25:37.569702+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e8,Router2,Phone1
5415,153,2020-05-15 13:25:37.570313+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5416,210,2020-05-15 13:25:37.572034+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5417,147,2020-05-15 13:25:37.572236+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e8,Router2,Phone1
5418,210,2020-05-15 13:25:37.572848+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5419,169,2020-05-15 13:25:37.600582+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e8,Router2,Phone1
5420,146,2020-05-15 13:25:37.600715+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e8,Router2,Phone1
5421,142,2020-05-15 13:25:37.618333+02:00,00:f6:20:f9:03:47,d4:f5:47:27:f9:8e,Google_hub,Google_speaker
5422,142,2020-05-15 13:25:37.618523+02:00,00:f6:20:f9:03:47,d4:f5:47:27:f9:8e,Google_hub,Google_speaker
5423,142,2020-05-15 13:25:37.618731+02:00,00:f6:20:f9:03:47,d4:f5:47:27:f9:8e,Google_hub,Google_speaker
5424,142,2020-05-15 13:25:37.618921+02:00,00:f6:20:f9:03:47,d4:f5:47:27:f9:8e,Google_hub,Google_speaker
5425,142,2020-05-15 13:25:37.622398+02:00,00:f6:20:f9:03:47,d4:f5:47:27:f9:8e,Google_hub,Google_speaker
5426,1490,2020-05-15 13:25:37.622756+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e8,Router2,Phone1
5427,1494,2020-05-15 13:25:37.622933+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e8,Router2,Phone1
5428,1490,2020-05-15 13:25:37.623477+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e8,Router2,Phone1
5429,1423,2020-05-15 13:25:37.623644+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e8,Router2,Phone1
5430,146,2020-05-15 13:25:37.623647+02:00,ec:89:14:fa:3a:2d,c4:ea:1d:e6:79:e8,Router2,Phone1
5431,55,2020-05-15 13:25:37.627631+02:00,c4:ea:1d:e6:79:e9,d4:f5:47:27:f9:8e,Google_hub,Router
5432,146,2020-05-15 13:25:37.631013+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5433,146,2020-05-15 13:25:37.631855+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5434,146,2020-05-15 13:25:37.632771+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5435,146,2020-05-15 13:25:37.635879+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5436,53,2020-05-15 13:25:37.636499+02:00,c4:ea:1d:e6:79:e9,e4:ce:8f:62:3b:53,Desktop,Router
5437,53,2020-05-15 13:25:37.637549+02:00,c4:ea:1d:e6:79:e9,e4:ce:8f:62:3b:53,Desktop,Router
5438,53,2020-05-15 13:25:37.638042+02:00,c4:ea:1d:e6:79:e9,e4:ce:8f:62:3b:53,Desktop,Router
5439,146,2020-05-15 13:25:37.639133+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5440,142,2020-05-15 13:25:37.642858+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5441,142,2020-05-15 13:25:37.642881+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5442,151,2020-05-15 13:25:37.642885+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5443,1472,2020-05-15 13:25:37.643107+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5444,239,2020-05-15 13:25:37.655202+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5445,239,2020-05-15 13:25:37.655515+02:00,c4:ea:1d:e6:79:e8,ec:89:14:fa:3a:2d,Phone1,Router2
5446,295,2020-05-15 13:25:37.658010+02:00,ff:ff:ff:ff:ff:ff,c4:ea:1d:e6:79:e9,Router,Broadcasting
